,Model,Dataset,Balanced_accuracy,Recall,Precision,ROC_AUC
0,LogRegression Real data,Real test,0.8452804458674256,0.8888888888888888,0.2315644383184011,0.8452804458674256
0,LogRegression DistillGPT synthetic features,Synth test,0.5665505407430946,0.5924932975871313,0.07875980042765503,0.5665505407430947
0,LogRegression DistillGPT synthetic features,Real test,0.7407266238642973,0.8597883597883598,0.13254486133768353,0.7407266238642973
0,LogRegression DistillGPT real features,Synth test,0.5751570725404277,0.6193029490616622,0.08048780487804878,0.5751570725404277
0,LogRegression DistillGPT real features,Real test,0.7420578453129147,0.9021164021164021,0.12671869193608323,0.7420578453129145
0,LogRegression GPT2xl synthetic features,Synth test,0.7390495899034533,0.7606382978723404,0.15253333333333333,0.7390495899034533
0,LogRegression GPT2xl synthetic features,Real test,0.8182960365457698,0.9391534391534392,0.17266536964980544,0.8182960365457697
0,LogRegression GPT2xl real features,Synth test,0.7380792046245575,0.7553191489361702,0.15318230852211434,0.7380792046245573
0,LogRegression GPT2xl real features,Real test,0.8114140592795875,0.9470899470899471,0.16414488766620816,0.8114140592795875
0,LogRegression Cerebras synthetic features,Synth test,0.7562369455151216,0.7969151670951157,0.1626442812172088,0.7562369455151217
0,LogRegression Cerebras synthetic features,Real test,0.8144491877149294,0.9444444444444444,0.16752698263725951,0.8144491877149295
0,LogRegression Cerebras real features,Synth test,0.7560830062505755,0.8046272493573264,0.1601842374616172,0.7560830062505755
0,LogRegression Cerebras real features,Real test,0.808923842274963,0.9470899470899471,0.16206428248076052,0.808923842274963
0,LogRegression Phi1.5 synthetic features,Synth test,0.7185830662393162,0.7630208333333334,0.13801224682053698,0.7185830662393162
0,LogRegression Phi1.5 synthetic features,Real test,0.8119575590226604,0.9656084656084656,0.15966754155730534,0.8119575590226604
0,LogRegression Phi1.5 real features,Synth test,0.7201856303418803,0.7630208333333334,0.13919239904988123,0.7201856303418804
0,LogRegression Phi1.5 real features,Real test,0.8077112025884705,0.9603174603174603,0.1576889661164205,0.8077112025884704
