,Model,Dataset,Balanced_accuracy,Recall,Precision,ROC_AUC
0,LogRegression Real data,Real test,0.8452804458674256,0.8888888888888888,0.2315644383184011,0.8452804458674256
0,LogRegression DistillGPT synthetic features,Synth test,0.7465309200603318,0.8205128205128205,0.1483541956420955,0.7465309200603318
0,LogRegression DistillGPT synthetic features,Real test,0.7376406746737589,0.791005291005291,0.14416586306653809,0.737640674673759
0,LogRegression DistillGPT real features,Synth test,0.724571506924448,0.8179487179487179,0.13358458961474037,0.724571506924448
0,LogRegression DistillGPT real features,Real test,0.7426465190606066,0.7433862433862434,0.16224018475750576,0.7426465190606066
0,LogRegression GPT2xl synthetic features,Synth test,0.9297519674335555,0.9974226804123711,0.3333333333333333,0.9297519674335555
0,LogRegression GPT2xl synthetic features,Real test,0.7881889741548226,0.8042328042328042,0.19179810725552052,0.7881889741548226
0,LogRegression GPT2xl real features,Synth test,0.9328418117289168,0.9845360824742269,0.36415633937082936,0.9328418117289168
0,LogRegression GPT2xl real features,Real test,0.8081135335671088,0.7619047619047619,0.2601626016260163,0.8081135335671088
0,LogRegression Cerebras synthetic features,Synth test,0.9334704511175099,0.9769230769230769,0.3817635270541082,0.93347045111751
0,LogRegression Cerebras synthetic features,Real test,0.7328225847436093,0.6904761904761905,0.17114754098360654,0.7328225847436093
0,LogRegression Cerebras real features,Synth test,0.936055121349239,0.9769230769230769,0.3931888544891641,0.936055121349239
0,LogRegression Cerebras real features,Real test,0.7767458341097615,0.6931216931216931,0.2502387774594078,0.7767458341097615
0,LogRegression Phi1.5 synthetic features,Synth test,0.9134992458521871,0.9897435897435898,0.29715165511932257,0.913499245852187
0,LogRegression Phi1.5 synthetic features,Real test,0.7305116520698165,0.6693121693121693,0.1776685393258427,0.7305116520698164
0,LogRegression Phi1.5 real features,Synth test,0.9178321678321679,0.9871794871794872,0.3117408906882591,0.9178321678321679
0,LogRegression Phi1.5 real features,Real test,0.7393064660940862,0.6507936507936508,0.2026359143327842,0.7393064660940861
