,Model,Dataset,Balanced_accuracy,Recall,Precision,ROC_AUC
0,LogRegression Real data,Real test,0.8452804458674256,0.8888888888888888,0.2315644383184011,0.8452804458674256
0,LogRegression DistillGPT synthetic features,Synth test,0.5456394840986236,0.5311653116531165,0.07332585110362888,0.5456394840986236
0,LogRegression DistillGPT synthetic features,Real test,0.5810576928506491,0.2830687830687831,0.13595933926302414,0.581057692850649
0,LogRegression DistillGPT real features,Synth test,0.529418304305579,0.4823848238482385,0.06944986344127975,0.529418304305579
0,LogRegression DistillGPT real features,Real test,0.5332777128401461,0.2671957671957672,0.0821806346623271,0.5332777128401461
0,LogRegression GPT2xl synthetic features,Synth test,0.6580497252855844,0.6851851851851852,0.11096829477292203,0.6580497252855844
0,LogRegression GPT2xl synthetic features,Real test,0.7843887110162457,0.9444444444444444,0.1445929526123937,0.7843887110162457
0,LogRegression GPT2xl real features,Synth test,0.6597508088970202,0.6825396825396826,0.11222270552414093,0.6597508088970202
0,LogRegression GPT2xl real features,Real test,0.7669346049815633,0.9497354497354498,0.13311086392287727,0.7669346049815635
0,LogRegression Cerebras synthetic features,Synth test,0.6496183572560127,0.6837837837837838,0.10463192721257238,0.6496183572560127
0,LogRegression Cerebras synthetic features,Real test,0.782254239297996,0.9444444444444444,0.14320096269554752,0.7822542392979961
0,LogRegression Cerebras real features,Synth test,0.6419350967308338,0.6648648648648648,0.1028858218318695,0.6419350967308339
0,LogRegression Cerebras real features,Real test,0.7673016437690932,0.9470899470899471,0.13373178931639895,0.7673016437690932
0,LogRegression Phi1.5 synthetic features,Synth test,0.6240888888888889,0.6613333333333333,0.09642301710730948,0.6240888888888889
0,LogRegression Phi1.5 synthetic features,Real test,0.7742485586669151,0.9656084656084656,0.13468634686346864,0.7742485586669151
0,LogRegression Phi1.5 real features,Synth test,0.6314666666666666,0.68,0.09803921568627451,0.6314666666666667
0,LogRegression Phi1.5 real features,Real test,0.7600625095288915,0.9761904761904762,0.12580975110808046,0.7600625095288915
