,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
0,5.2942,14.0,6.506024096385541,1.066496163682864,1635.0,2.835249042145572,32.95,-116.95,2.512
1,3.7292,8.0,5.716981132075472,1.0047169811320755,1310.0,3.2624113475177303,33.78,-117.06,1.083
2,3.5156,35.0,6.534682080924856,1.2127659574468086,815.0,2.843497373765886,40.79,-124.17,0.907
3,2.9167,17.0,7.128747795414403,1.2374100719424423,752.0,2.764705882352941,39.22,-120.59,1.603
4,5.1842,52.0,5.826732673267327,0.973267326732673,825.0,2.264026402640264,37.78,-122.39,4.093
5,3.0,13.0,4.735294117647059,0.955882352941176,729.0,2.5294117647058822,37.67,-120.97,1.551
6,3.0357,47.0,4.634146341463415,1.0510731707317071,835.0,3.0783659073659075,37.76,-122.18,1.354
7,2.9286,14.0,6.232945736434108,1.2724014336917562,4141.0,2.709979604519774,34.17,-116.45,0.889
8,5.4223,32.0,5.929078014184396,0.9929078014184396,875.0,3.0588235294117645,33.85,-117.95,2.347
9,3.7188,52.0,4.811594202898551,1.0815602836879434,678.0,2.819277108433735,37.34,-121.91,2.526
10,2.4167,17.0,3.829351535836177,0.9584775086505192,1267.0,2.818864097363083,40.48,-122.37,0.858
11,2.5833,34.0,4.341666666666667,0.9444444444444444,1605.0,4.888888888888889,33.91,-117.31,1.011
12,3.6,35.0,5.483516483516484,0.9796747967479674,726.0,2.935643564356436,36.75,-119.81,0.975
13,4.4167,35.0,4.606936416184973,1.0272479564032766,1497.0,3.376760563380281,34.23,-118.46,2.586
14,2.3625,41.0,4.504930966469428,1.154429469432384,1221.0,3.926182965299684,37.99,-121.28,1.163
15,3.0833,17.0,6.120192307692308,1.1634615384615383,684.0,3.7267857142857146,33.85,-117.3,1.438
16,1.5,44.0,3.357615894039735,1.0782442748091603,1459.0,4.42483660130719,34.16,-118.02,1.31
17,6.1033,37.0,6.817073170731708,1.0116931216931218,1071.0,2.624338624338624,34.13,-118.21,5.00001
18,2.7273,11.0,4.54954954954955,1.0094019401940193,2701.0,3.735643564356436,40.26,-122.23,0.75
19,5.9234,14.0,7.912457912457912,1.0972222222222223,810.0,3.1538461538461537,33.51,-117.7,2.705
20,3.0,42.0,4.982579185520362,1.06426735218509,801.0,2.865013774104684,36.76,-119.82,0.85
21,2.5,44.0,4.065934065934066,1.0594653979238242,1611.0,3.161417322834645,33.94,-118.31,1.456
22,3.6607,41.0,4.0120481927710845,1.053947368421053,862.0,1.986842105263158,34.15,-118.45,2.446
23,3.5,46.0,4.590909090909091,0.9772727272727272,1052.0,2.7381818181818183,34.02,-118.2,1.388
24,4.1071,26.0,4.0990099009901,0.99009900990099,3188.0,2.585858585858586,33.92,-118.35,1.995
25,4.1563,29.0,5.037383177570094,0.9495412844036696,1809.0,2.8652482269503574,37.73,-122.47,2.292
26,5.6277,25.0,6.362989323843416,1.0517241379310345,678.0,2.67654986522911,34.17,-118.82,3.955
27,3.8229,44.0,5.54375,1.0,947.0,2.3125,37.94,-122.53,2.773
28,4.5156,24.0,5.67884531590413,1.06631299734748,1033.0,2.2625698324022347,34.1,-117.86,2.253
29,3.7,30.0,4.822916666666667,1.0677083333333333,1341.0,3.0625,37.73,-122.14,2.42
30,5.5221,32.0,6.390029325513196,1.0547169811320756,1301.0,2.929457364341085,34.1,-117.9,1.969
31,10.7172,36.0,8.096774193548386,1.0872413793103448,613.0,2.7155172413793105,33.83,-118.39,5.00001
32,2.9205,16.0,4.996677740863787,1.1165644171779143,2787.0,2.6222523799405946,37.47,-120.87,1.507
33,5.8269,25.0,7.104477611940299,0.9731343283582089,682.0,2.917761467889908,37.35,-122.04,3.586
34,3.5132,44.0,4.334876543209877,0.9774509803921568,573.0,2.03921568627451,37.74,-122.19,1.014
35,2.9688,23.0,4.281721632196758,1.076335877862596,2249.0,2.552079343365256,33.76,-117.93,1.383
36,5.8393,13.0,7.156976744186046,1.0422885572139304,463.0,1.979665071770335,37.6,-122.03,3.44
37,4.9667,52.0,5.87183462532345,1.0927835152566572,1496.0,2.506701030927835,37.72,-122.44,3.44
38,1.7109,44.0,4.907936507936508,1.1538461538461535,1063.0,4.186813186813187,33.98,-118.18,0.437
39,2.625,16.0,4.967889908256881,1.0784982935153584,1315.0,3.496894409937894,38.66,-121.33,0.903
40,5.2642,32.0,5.987975951903128,1.0390879478827362,781.0,2.44206008583691,33.9,-118.3,3.119
41,5.2138,40.0,5.834007834007834,0.9774011299435028,1061.0,2.9264069264069263,33.83,-118.12,2.558
42,2.1798,52.0,4.496350364963504,1.032520325203252,828.0,1.9282539282539284,37.76,-122.43,1.482
43,3.65,36.0,4.789024390243903,1.0146341463414634,1338.0,2.817073170731707,33.93,-118.02,1.278
44,3.8125,35.0,5.015094339622642,0.9970149253731344,873.0,3.664383561643835,33.99,-118.29,1.753
45,1.8029,31.0,4.182956254112953,1.0646651270207852,725.0,2.9642857142857144,35.65,-119.04,0.956
46,1.6667,31.0,4.967532467532567,1.126530612244898,771.0,1.8571428571428572,39.34,-121.59,0.63
47,3.3125,27.0,5.4875,0.95,1425.0,2.65,38.7,-121.25,1.12
48,4.5694,49.0,4.751806222045806,1.0085470085470083,1453.0,2.547008547008547,34.05,-118.13,3.875
49,4.7188,36.0,5.93566183574879,1.0287206266318538,1763.0,3.008957345971564,37.8,-122.33,2.711
50,2.3155,28.0,3.927173913043478,1.0469565217391303,1505.0,4.830434782608695,34.14,-118.15,1.463
51,9.3957,52.0,8.209523809523809,1.0985915492957745,890.0,2.859154929577466,37.77,-122.47,5.00001
52,4.1513,6.0,6.839071038251366,1.0907103825136613,672.0,3.819277108433735,33.15,-117.11,1.058
53,3.3125,52.0,5.857142857142857,1.2357142857142858,754.0,2.7142857142857144,37.82,-122.26,0.693
54,4.2083,17.0,6.558823529411765,0.9665071770334928,729.0,2.8823529411764706,37.64,-120.81,1.462
55,5.2852,33.0,5.633262260127932,1.1085271317829457,862.0,2.6775903614457826,37.59,-122.04,2.258
56,2.9125,8.0,4.75,1.0275,1346.0,3.15,34.1,-118.26,2.625
57,8.0,52.0,7.382716049382716,1.0,817.0,2.8900346320346326,34.1,-118.39,5.00001
58,1.3611,47.0,4.966386554621849,1.0718232044198894,982.0,3.365853658536585,33.98,-118.25,0.771
59,4.1907,30.0,5.155555555555555,1.0844444444444443,849.0,2.133888888888889,37.71,-122.46,3.305
60,3.9187,36.0,5.269230769230769,1.017948717948718,1067.0,2.858974358974359,38.59,-121.46,1.825
61,3.5333,28.0,5.539083557951443,1.046692607003891,3444.0,3.019769452449568,33.82,-117.96,1.825
62,1.6348,31.0,4.933774834437086,1.031413612565445,1466.0,3.624113537117904,36.61,-119.55,0.62
63,2.5904,35.0,5.34010152284264,1.0101015228426438,1032.0,3.812206572769953,34.23,-117.31,0.868
64,2.6902,34.0,3.6608187134502925,1.0515463917525774,1201.0,3.6108187134502923,34.04,-118.35,1.706
65,2.15,52.0,4.053521126760564,0.9824561403508772,574.0,1.958904109589041,37.94,-121.29,0.875
66,2.8029,11.0,5.332375690607735,1.072423398328691,2591.0,3.22252374449339,38.46,-121.42,1.18
67,3.9107,17.0,5.733333333333333,1.0833333333333333,635.0,3.361111111111111,33.79,-117.98,1.842
68,3.6389,52.0,5.555555555555555,1.0,809.0,3.2337662337662336,37.75,-122.21,1.703
69,4.3559,9.0,4.797979797979798,1.0,723.0,2.818181818181818,33.84,-117.83,1.946
70,2.7404,27.0,3.907703927492448,1.0,1856.0,3.5668639053254436,34.02,-118.29,1.868
71,1.9028,44.0,3.907407407407408,1.1121495327102804,1369.0,3.947368421052632,33.96,-118.28,1.213
72,1.25,36.0,4.0,0.9748110831234256,871.0,2.6382978723404253,34.12,-117.24,0.275
73,1.6389,17.0,3.8976623376623376,0.958904109589041,634.0,3.5342465753424657,36.81,-119.73,0.874
74,2.2096,35.0,3.582089552238806,1.0344086021505376,1275.0,4.102836879432624,33.92,-118.03,1.275
75,1.6071,24.0,4.486988847583643,1.0495867768595042,1751.0,3.293577981651376,36.31,-119.25,0.544
76,2.8194,37.0,3.651376146788991,0.9823008849557522,1337.0,2.838983050847457,34.02,-118.32,2.625
77,2.7708,34.0,4.506024096385542,0.988593155893536,1032.0,3.4259668508287295,32.58,-117.11,0.846
78,3.1829,35.0,4.5064935064935066,0.813452914798206,1006.0,4.576923076923077,33.96,-118.17,1.324
79,2.1667,12.0,5.55665024630542,1.1121495327102804,1659.0,2.6859688195991116,36.33,-119.33,0.688
80,4.0781,36.0,4.846511627906977,1.044776119402985,1177.0,2.453300970873787,33.82,-118.34,2.583
81,3.8036,52.0,6.136986301369863,1.1316872416872417,877.0,2.1780891780891785,37.7,-122.17,2.4
82,5.3971,26.0,6.539473684210527,1.0555555555555556,1292.0,3.07859078590786,34.28,-118.54,1.946
83,2.3906,52.0,4.352380952380952,0.9333333333333332,567.0,2.823809523809524,32.75,-117.18,1.087
84,5.0,37.0,3.922190201729107,1.0,477.0,1.893416927899686,37.85,-122.27,2.5
85,2.5536,36.0,3.531120331950207,0.9845686900958466,817.0,2.926900584795322,34.27,-119.27,1.625
86,4.8125,33.0,5.3347107438016526,1.0165016501650166,1667.0,2.6049382716049383,37.74,-122.47,3.911
87,3.1912,17.0,5.827586206896552,1.1724137931034482,867.0,3.9661016949152543,36.34,-119.21,0.998
